Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Renato,A Quiet Place,thumb,,1,Android Phone,2022-01-02 03:03:27,
Renato,Love and Monsters,thumb,,1,Smart TV,2021-04-23 23:22:55,
Renato,Money Heist,thumb,,2,Android Tablet,2018-06-26 03:05:32,
Renato,Bates Motel,thumb,,2,Smart TV,2017-08-05 03:48:35,
MARINA,One-Punch Man,thumb,,2,Smart TV,2021-12-09 01:11:07,
MARINA,La Mante,thumb,,2,Smart TV,2021-08-04 04:35:08,
MARINA,Blood Red Sky,thumb,,2,Smart TV,2021-07-25 05:27:36,
MARINA,Thiago Ventura: POKAS,thumb,,2,Android Tablet,2020-07-06 02:51:13,
MARINA,Rafinha Bastos: Ultimatum,thumb,,2,Android Tablet,2018-09-25 03:45:38,
MARINA,Marvel's Inhumans,thumb,,2,Android Phone,2018-09-19 03:53:08,
MARINA,Death Note,thumb,,2,Android Phone,2018-09-16 01:49:05,
MARINA,Revenge,thumb,,2,Android Tablet,2018-07-02 03:37:16,
MARINA,Blindspot,thumb,,2,Android Tablet,2018-04-09 03:15:02,
MARINA,Money Heist,thumb,,2,Android Tablet,2018-02-04 05:22:01,
Caio,The Croods,thumb,,2,Smart TV,2021-11-19 22:51:48,
Caio,Sonic Boom,thumb,,2,Smart TV,2021-09-04 19:49:57,
Caio,Naruto,thumb,,2,Smart TV,2021-08-16 21:15:17,
Caio,Pokémon: Mewtwo Strikes Back - Evolution,thumb,,2,Android Phone,2020-04-30 13:46:56,
Tio LEE,Slender Man,thumb,,2,Smart TV,2021-12-08 19:11:38,
Tio LEE,Naruto Shippuden,thumb,,2,Smart TV,2021-09-11 02:52:21,
Tio LEE,Billions,star,5,2,HTML 5,2016-10-04 01:11:26,2016-10-03
Tio LEE,Saints and Soldiers: The Void,star,5,2,HTML 5,2016-09-20 03:00:05,2016-09-19
